,0

natural_resource,0.9411024929413236
closing_plenary,0.9411024929413236
earthquake,0.9399434800161486
kiyoshi_kurokawa,0.9396765810908839
cooperation_among,0.9374428661052492
technological_advance,0.9370982632177126
kurokawa_kiyoshi,0.9358364831956261
tone,0.9328743501941642
stem_cell,0.9318496501407012

public_awareness,0.9305462090893808
health_care,0.9242770982310758
depletion,0.9212100703831714

linear,0.9212100703831714
pfizer,0.9211521116009869
lee_yuan,0.9211521116009869
tseh_president,0.9211521116009869
yoshikawa_hiroyuki,0.9196533700176506
member_house,0.91950908551712
thoroughly,0.9176625579846689
environmental_protection,0.9176625579846689
susumu,0.915044773391813
mobile_phone,0.914468507497599
shell,0.914468507497599
finland,0.9141469703813426
sudan,0.9141469703813426
barbara,0.9138683296783626
decrease,0.9118247140438526
intentional,0.9096483450291131
relating,0.9096483450291131
joichi,0.9092754909875838
percent,0.9083034477332195
fulfill,0.9068211605117074
r,0.9057560877233152
hayashizaki_yoshihide,0.9057560877233152
university_toronto,0.9057560877233152
paulo,0.9057560877233152
directed,0.9057560877233152
infectious_disease,0.9057374837927306
minister_higher,0.9053655599187772
per_caput,0.9053655599187772
reasonable,0.9053655599187772
de,0.9039436019693213
concentration,0.8999058000269142
massachusetts_institute,0.8999058000269142
james,0.8994479979577655
ethical_safety,0.8994479979577655
boeing,0.8989859889373636
president_keio,0.8989859889373636
iii,0.8985197147086529
emerging_infectious,0.8985197147086529
george,0.8985197147086529
friedman_jerome,0.8977517135586226
blood,0.8977517135586226
september,0.8977336198913055
efficiently,0.8973297657055214
